rank,feature_id,frequency_score,active_ratio,mean_activation,std_activation,blacklisted
221,5168,0.9629999995231628,0.9629999995231628,0.12076302617788315,0.11435238271951675,1
222,5065,0.9620000123977661,0.9620000123977661,0.4362540543079376,0.48790615797042847,1
223,4582,0.9610000252723694,0.9610000252723694,0.23930035531520844,0.2737520933151245,1
224,8759,0.9599999785423279,0.9599999785423279,0.551112949848175,0.5393745303153992,1
225,1889,0.9599999785423279,0.9599999785423279,0.4607980251312256,0.4882737994194031,1
226,2966,0.9589999914169312,0.9589999914169312,0.4986024498939514,0.7515718340873718,1
227,4069,0.9589999914169312,0.9589999914169312,0.49669986963272095,0.6065508127212524,1
228,7526,0.9589999914169312,0.9589999914169312,0.21316607296466827,0.21779513359069824,1
229,2553,0.9589999914169312,0.9589999914169312,0.20515628159046173,0.20636625587940216,1
230,5155,0.9580000042915344,0.9580000042915344,0.27226316928863525,0.2680853009223938,1
231,1535,0.9570000171661377,0.9570000171661377,0.37622594833374023,0.4670848548412323,1
232,8679,0.9570000171661377,0.9570000171661377,0.25949084758758545,0.2931205928325653,1
233,930,0.9559999704360962,0.9559999704360962,0.4504873752593994,0.4886091351509094,1
234,9126,0.9559999704360962,0.9559999704360962,0.32723259925842285,0.3554103672504425,1
235,627,0.9539999961853027,0.9539999961853027,0.21565526723861694,0.24839439988136292,1
236,5481,0.953000009059906,0.953000009059906,0.3680722713470459,0.3673241436481476,1
237,8905,0.953000009059906,0.953000009059906,0.21265316009521484,0.2631371021270752,1
238,6145,0.9520000219345093,0.9520000219345093,0.5720720291137695,0.5917777419090271,1
239,4826,0.9520000219345093,0.9520000219345093,0.3942544758319855,0.4613547921180725,1
240,600,0.949999988079071,0.949999988079071,0.4774663746356964,0.48098358511924744,1
